username,followers,following,public_repos,public_gists,account_age_days,bio,label,burst_score,posting_regularity_score,time_of_day_entropy,active_hours_count,follow_velocity,duplicate_content_ratio,sentiment_variance,profile_completeness_score,mutual_follower_ratio
mark_adventure,1.0,67.0,18.0,18.0,365.0,Dog lover | Hiking | Books,0,0.127,0.304,0.742,12.0,1.05,0.119,0.2245,0.966,0.471
get_rich_88,19.0,593.0,0.0,0.0,11.0,FREE BTC airdrop → link in bio,1,0.772,0.865,0.258,1.0,270.51,0.975,0.0403,0.192,0.022
lisa_writes,26.0,72.0,20.0,0.0,2879.0,Retired engineer | amateur astronomer,1,0.124,0.102,0.966,17.0,0.646,0.145,0.2844,0.842,0.1855
zz_promo_zz,17.0,2113.0,1.0,0.0,54.0,Click link below 💰,1,0.697,0.909,0.161,2.0,237.83,0.799,0.0906,0.158,0.0486
ethan_games,0.0,51.628500297314154,59.8663336062882,28.19459023917097,1763.3240685504795,News journalist @NYT,0,0.0,0.2612886251969961,0.931487591464359,13.927152741871412,3.6761196741467526,0.10455872357547638,0.27979219201096683,0.8965683898051261,0.23678787147951527
follow_back_101,17.0,308.0,0.0,0.0,31.0,FREE BTC airdrop → link in bio,1,0.807,0.959,0.307,2.0,104.86,0.857,0.0113,0.098,0.0126
tom_techie,92.0,26.0,21.0,25.0,2543.0,Developer | Open source enthusiast,0,0.133,0.246,0.711,14.0,1.253,0.119,0.5499,0.901,0.5972
emma.j,30.0,25.0,56.0,10.0,5000.0,Fashion designer | PR welcome,0,0.03,0.55,0.874,14.0,1.727,0.159,0.6318,0.791,0.4905
free_follower_bot,16.0,2692.0,0.0,0.0,46.0,follow for follow back,1,0.657,0.86,0.295,1.0,209.35,0.904,0.0954,0.059,0.0379
creative_dan,1.0,24.0,11.0,10.0,5000.0,software engineer @ Google,0,0.061,0.495,0.953,8.0,3.351,0.065,0.565,0.811,0.195
nina_art,16.84650400804997,37.74917320449494,115.35392979579144,29.113385639592032,2937.7780503282847,Traveler | 50+ countries visited,0,0.06995962805947618,0.12491354846524289,0.7227135175107733,9.68133334123777,4.539939318247333,0.09786136891399048,0.672398023235941,0.9513757435244409,0.20329478051676586
xXx_profit_xXx,4.0,2046.0,2.0,0.0,8.0,btc eth airdrop free coins,1,0.708,0.963,0.355,3.0,195.31,0.967,0.0919,0.11,0.0052
get_rich_88,10.0,2469.0,0.0,0.0,38.0,btc eth airdrop free coins,1,0.851,0.984,0.288,1.0,265.93,0.95,0.0293,0.036,0.0149
mike_2023,50.0,25.0,13.0,9.0,5000.0,Architect | sustainable design,0,0.121,0.186,0.778,14.0,4.944,0.103,0.2483,0.857,0.1924
chef_marco,757.0,8.0,19.0,29.0,1542.0,Musician. Coffee addict.,0,0.11,0.249,0.705,9.0,0.562,0.001,0.4309,0.661,0.3889
airdrop_winner99,13.0,1691.0,0.0,0.0,51.0,investment advisor DM me,1,0.607,0.965,0.208,3.0,119.08,0.765,0.0873,0.046,0.0415
crypto_king_9999,16.0,967.0,1.0,0.0,5.0,official giveaway account,1,0.698,0.872,0.259,3.0,243.5,0.932,0.0283,0.01,0.0098
9182736450,7.0,1721.0,2.0,0.0,18.0,earn while you sleep 💸,1,0.747,0.966,0.398,4.0,293.69,0.706,0.0364,0.207,0.0276
ben_codes,28.67308072851586,51.2134566126102,3.858164506930107,1.695999388532114,1338.2545531292299,High school teacher | making STEM fun,0,0.0771911879640047,0.36712548888755014,0.8563884299219683,12.32292802347961,1.0078569431307307,0.1464578708626364,0.4412314129921093,0.9050437084822239,0.3700159021478578
sarah_smith,18.0,18.0,37.0,5.0,4047.0,Teacher & lifelong learner,0,0.075,0.323,0.936,14.0,0.61,0.132,0.5995,0.795,0.1496
earn_fast_2024,8.0,1171.0,1.0,0.0,59.0,📈 passive income daily,1,0.618,0.905,0.259,1.0,76.77,0.789,0.0382,0.084,0.0208
get_rich_88,10.0,479.0,0.0,0.0,51.0,,0,0.689,0.891,0.367,2.0,75.51,0.723,0.0673,0.197,0.0226
free_follower_bot,1.0,1682.0,0.0,0.0,48.0,btc eth airdrop free coins,1,0.907,0.988,0.3,1.0,246.75,0.958,0.0196,0.056,0.0375
john_doe,122.0,18.0,26.0,22.0,4381.0,News journalist @NYT,0,0.079,0.242,0.85,9.0,1.428,0.083,0.2574,0.678,0.3234
john_doe,4.0,56.0,11.0,18.0,4072.0,Artist | Digital creator,0,0.009,0.236,0.883,18.0,1.919,0.053,0.6881,0.734,0.5338
grace_beauty,31.0,58.0,2.0,14.0,5000.0,Yoga instructor | wellness coach,0,0.104,0.204,0.663,11.0,3.377,0.172,0.6796,0.811,0.1426
mia_cooks,160.87005389296888,35.11082670632664,31.570918112636242,9.27175489605551,447.3457586674682,Musician. Coffee addict.,0,0.014549512054245825,0.09076291707456274,0.8560153687046078,10.282035056467079,2.6344516364900734,0.12046673955444268,0.37571369086446466,0.9339956488418856,0.6009677308021047
noah_films,74.0,23.0,6.0,6.0,5000.0,News journalist @NYT,0,0.145,0.153,0.874,15.0,1.664,0.08,0.5536,0.856,0.1836
free_follower_bot,6.0,2116.0,0.0,0.0,20.0,FREE BTC airdrop → link in bio,1,0.709,0.947,0.341,3.0,69.36,0.729,0.041,0.22,0.0135
rachel_reads,13.0,133.0,2.0,14.0,5000.0,High school teacher | making STEM fun,1,0.117,0.217,0.828,18.0,2.208,0.042,0.5447,0.842,0.2001
real_human_01234,15.0,2854.0,0.0,0.0,52.0,,1,0.713,0.952,0.236,3.0,187.46,0.746,0.0246,0.218,0.0327
rachel_reads,37.0,166.0,2.0,19.0,5000.0,Blogger | Lifestyle & wellness,0,0.12,0.188,0.787,8.0,2.904,0.085,0.3761,0.742,0.5035
bot_account_7,0.5530417605531994,1724.890212304812,0.8688589747860154,1.0196550593355604,90.48544613724968,earn $500/day 👇,1,0.8710019524383608,1.0072385462695497,0.2981837325907966,1.3716990541608394,241.0083796234337,0.9091474847076192,0.08770732298868131,0.12610781255285305,0.056742428278613984
fit_jessica,8.382162223094042,22.677910522050105,0.0,22.647774846686254,2321.6119081602474,Fashion designer | PR welcome,0,0.03883400842971226,0.38743167935850836,0.7600118438164319,13.09805360008968,7.3051879091202725,0.0,0.4867540946692583,0.6986981755843121,0.4015859988353765
bot_account_7,16.0,2214.0,2.0,0.0,59.0,earn while you sleep 💸,1,0.832,0.956,0.379,3.0,66.27,0.951,0.0505,0.224,0.0414
xXx_profit_xXx,10.051852766733818,2212.04086401638,0.0,0.0,42.43655259948295,,1,0.7003175671242418,0.9113088859614942,0.2198444388825101,1.947332721558233,147.33041485537,0.8548300497180594,0.03996083033644056,0.22739835490328442,0.032455580488557276
emma.j,0.0,7.690438711841633,7.588544829503133,19.99619937407109,1081.7011597061492,Blogger | Lifestyle & wellness,0,0.15177310922968826,0.5177721089517253,0.7100055165774686,16.13493452331574,0.30662401899648906,0.018940878866167864,0.30962678341289,0.5986088505520464,0.4023472734809785
insta_boost_247,2.0,658.0,1.0,0.0,50.0,NFT investor | crypto tips,1,0.721,0.91,0.36,3.0,227.62,0.739,0.0117,0.178,0.009
get_rich_88,11.0,2666.0,1.0,0.0,28.0,earn $500/day 👇,1,0.647,0.966,0.184,2.0,163.03,0.889,0.0694,0.246,0.0395
nina_art,62.0,24.0,35.0,10.0,1842.0,Marketing professional | keynote speaker,0,0.14,0.549,0.695,16.0,0.343,0.184,0.4486,0.698,0.3823
follow_back_101,0.0,1272.5484252825588,3.5712953398064453,0.0,2.668842361431853,crypto millionaire | teach you how,1,0.810279522051097,0.9226672296639467,0.12276281630503237,0.8813077488491492,69.1576352057295,0.8539965248718093,0.06630321212868931,0.12259898933129618,0.013518755062525947
xXx_profit_xXx,0.0,2823.0,2.0,0.0,23.0,Click link below 💰,1,0.838,0.959,0.22,1.0,174.99,0.928,0.0319,0.087,0.0351
1234567890ab,12.597270819080029,2429.9519804938277,2.669066573535697,0.34248338204631334,0.0,,1,0.7108477954823903,0.9281195535022407,0.14484729014929304,1.8861446564127944,285.97766805991756,0.7668502819691412,0.04363378542445027,0.06869804364291004,0.009569401788146477
insta_boost_247,11.0,2546.0,0.0,0.0,30.0,,1,0.86,0.878,0.183,2.0,223.71,0.773,0.0927,0.199,0.0127
alex_travel,15.0,108.0,9.0,12.0,4085.0,Environmental activist,0,0.065,0.211,0.97,11.0,3.846,0.161,0.2125,0.747,0.1161
fit_jessica,16.0,11.0,6.0,7.0,5000.0,Architect | sustainable design,0,0.076,0.421,0.953,11.0,4.848,0.139,0.3855,0.964,0.3918
mark_adventure,80.68962007479254,0.0,19.764263255751967,0.0,1251.9945346515008,High school teacher | making STEM fun,0,0.08098694217540922,0.3803440015131651,0.7501288308747875,16.433733097176358,2.796115985963347,0.0,0.2378159261538174,0.786707806966247,0.4926899223223157
real_human_01234,14.719669587571396,1078.0360545590886,2.978655357579799,0.0,125.73365675347542,FREE gift cards click here,1,0.8215378799045382,0.9029146225629309,0.14274178448381528,0.7057053137408539,195.68529383525524,1.0018217913566494,0.07040201551202349,0.27812161814235126,0.01419396016018494
alex_travel,7.0,3.0,35.0,26.0,1874.0,Environmental activist,0,0.132,0.195,0.653,10.0,4.591,0.015,0.6371,0.772,0.5166
sophia_teaches,1008.0,28.0,16.0,9.0,3965.0,UX designer @Meta,0,0.062,0.233,0.841,16.0,0.966,0.054,0.5132,0.747,0.4051
insta_boost_247,3.5285358048937003,1836.0711252350557,0.14891969532029914,0.0,1.9808642904051013,DM me to grow your account fast,1,0.7787534536235041,1.0170263344807917,0.2408250286300353,3.048580176575763,248.71576893980216,0.8923876039466057,0.09675839504226905,0.0,0.0035324888760361337
ben_codes,57.0,45.0,19.0,0.0,2750.0,mom of 3 | foodie,0,0.034,0.403,0.692,15.0,0.983,0.046,0.5698,0.923,0.4031
a8f7d3k9p2,12.0,1748.0,2.0,0.0,48.0,promo available 📩,1,0.662,0.873,0.156,3.0,56.49,0.802,0.0626,0.298,0.0073
dev_pete,21.0,12.0,8.0,4.0,637.0,fitness coach 💪 DM for training plans,0,0.033,0.179,0.868,10.0,0.919,0.151,0.5833,0.801,0.367
insta_boost_247,11.0,1483.0,1.0,0.0,23.0,official giveaway account,1,0.758,0.883,0.208,1.0,271.68,0.851,0.0604,0.173,0.0287
creative_dan,311.0,2.0,5.0,27.0,1217.0,Entrepreneur | Founder @startup,0,0.001,0.532,0.802,11.0,1.248,0.15,0.3941,0.677,0.5245
rachel_reads,18.0,12.0,3.0,24.0,2480.0,Freelance illustrator | art prints available,0,0.147,0.486,0.926,15.0,4.084,0.15,0.5293,0.628,0.3405
