username,followers,following,videos,bio,likes,is_verified,label
alex_travel,111061,9,5,Real estate investor | DM for passive income secrets,689,0,1
tradebot_fx,4046,8492,1366,🔞 link in bio,236,0,1
lena_captures,200,67,453,Nurse practitioner | women's health advocate,4306,0,0
zz_promo_zz,7223,6799,863,DM me to grow your account fast,95,0,1
surf_with_evan,57299,20,0,FREE BTC airdrop → link in bio,911,0,1
taylorswift,37842273,463,4231,World #1 tennis player 🎾 | Foundation: @AidFundation,2639127683,1,0
real_human_01234,24,4496,4,NFT investor | crypto tips,33,0,1
get_rich_88,8484,8299,4528,NFT investor | crypto tips,351,0,1
real_human_01234,178,5477,1,investment advisor DM me,2,0,1
tom_techie,200,44,234,Data scientist | ML researcher,5401,0,0
follow_back_101,8207,8513,2194,NFT investor | crypto tips,50,0,1
kimkardashian,70578850,400,805,Fashion icon | Creative Director @LuxuryBrand,3990786874,1,0
chef_marco,621,96,431,UX designer @Meta,3379,0,0
crypto_king_9999,21,6596,2,Click link below 💰,11,0,1
acc29471838,8101,9142,2792,♻️ repost to win $1000,118,0,1
zz_promo_zz,3105,5776,4521,,132,0,1
beyonce,135174371,132,4692,CEO @Fortune500 | Author | Speaker,5892892674,1,0
9182736450,5024,6557,2271,DM me to grow your account fast,98,0,1
a8f7d3k9p2,80,9746,0,,49,0,1
free_followers_now,111,8540,2,NFT investor | crypto tips,13,0,1
sarah_smith,200,18,471,UX designer @Meta,7410,0,0
mike_2023,201059,47,2,crypto signals ✅ 99% win rate,751,0,1
fit_jessica,254,58,204,Dance teacher | choreographer,12343,0,0
the_real_sam,350784,6,8,📈 passive income daily,45,0,1
user8374629,34,5689,4,promo available 📩,28,0,1
lena_captures,245,17,312,Wildlife photographer based in Kenya,11357,0,0
tradebot_fx,66,7778,0,,17,0,1
9182736450,8162,6091,4095,Real estate investor | DM for passive income secrets,259,0,1
free_followers_now,95,9973,1,btc eth airdrop free coins,12,0,1
mark_adventure,36998,17,3,FREE BTC airdrop → link in bio,30,0,1
99882736450,4445,6343,4964,📈 passive income daily,400,0,1
alex_travel,200,77,226,Dog lover 🐾 | Hiking | Books,6777,0,0
emma.j,46814,5,4,♻️ repost to win $1000,534,0,1
botanist_beth,200,22,257,Environmental activist 🌱,9442,0,0
photo_by_anna,1601,38,335,Traveler | 50+ countries visited ✈️,33375,0,0
surf_with_evan,463247,36,2,,838,0,1
taylorswift,65769798,349,3432,Fashion icon | Creative Director @LuxuryBrand,1405765922,1,0
lisa_writes,200,17,472,Data scientist | ML researcher,3410,0,0
tom_techie,259,58,146,Architect | sustainable design,5225,0,0
chris_builds,323,40,128,Chef | Recipe creator 🍳,11670,0,0
everyday_elena,269,21,121,Fashion designer | PR welcome,9513,0,0
zz_promo_zz,183,9535,0,earn $500/day 👇,64,0,1
mike_2023,532,14,42,Chef | Recipe creator 🍳,18973,0,0
mindful_maya,200,76,238,High school teacher | making STEM fun,2243,0,0
natgeo,80070713,272,2109,Grammy-winning artist 🎵 | New album out now,4845097926,1,0
photo_by_anna,1341,545,394,Wildlife photographer based in Kenya,61666,0,0
grace_beauty,463013,14,0,♻️ repost to win $1000,254,0,1
lena_captures,493507,12,3,,28,0,1
mark_adventure,219596,48,9,,855,0,1
creative_dan,2811,1220,122,Freelance illustrator | art prints available,88919,0,0
