username,followers,following,tweets,bio,is_verified,listed_count,has_profile_pic,label
john_doe,304,68,149,Artist | Digital creator ✨,0,668,1,0
surf_with_evan,50,96,100,Marketing professional | keynote speaker,0,873,1,0
code_master,151839,35,14,follow for follow back,0,0,0,1
journeys_with_kai,224,306,100,Musician. Coffee addict. ☕,0,403,1,0
acc29471838,2921,4947,137247,,0,0,1,1
99882736450,30,4723,41,,0,0,0,1
the_real_sam,179,309,113,News journalist @NYT,0,169,1,0
user8374629,60,3831,28,FREE BTC airdrop → link in bio,0,0,0,1
mark_adventure,339970,42,12,Get free followers — click bio link,0,0,1,1
grace_beauty,50,87,100,Artist | Digital creator ✨,0,507,1,0
dev_pete,287811,32,5,Get free followers — click bio link,0,0,1,1
tim_cook445,324819,23,100,Fan account. Not official.,0,0,1,1
follow_back_101,4573,3305,470519,DM me to grow your account fast,0,0,1,1
sarah_smith,50,17,100,Gaming streamer | Twitch partner 🎮,0,668,1,0
nina_art,157758,30,19,,0,0,1,1
chef_marco,2884756,2000,44349,Marketing professional | keynote speaker,0,5437,1,0
chef_marco,50,88,100,Teacher & lifelong learner 📚,0,166,1,0
oprah345,197027,88,86,Fan account. Not official.,0,0,1,1
chef_marco,2831874,2293,8851,Artist | Digital creator ✨,0,47730,1,0
b.scott.official,327,266,120,Nurse practitioner | women's health advocate,0,515,1,0
amy_joy,60,84,100,Fashion designer | PR welcome,0,445,1,0
real_human_01234,67,4356,16,promo available 📩,0,0,1,1
paul_runs,1804298,1496,11548,Fashion designer | PR welcome,0,12191,1,0
sarah_smith,61,24,227,Podcaster | interviewing founders,0,73,1,0
botanist_beth,117,46,1634,mom of 3 | foodie 🍕,0,328,1,0
everyday_elena,4116393,1727,35347,mom of 3 | foodie 🍕,1,9592,1,0
nasa805,362891,50,21,Fan account. Not official.,0,0,1,1
grace_beauty,76,15,100,Marketing professional | keynote speaker,0,646,1,0
acc29471838,52,3162,39,Get free followers — click bio link,0,0,1,1
grace_beauty,509,393,100,High school teacher | making STEM fun,0,321,1,0
b.scott.official,260,486,100,Environmental activist 🌱,0,579,1,0
b.scott.official,3505611,4691,7557,Nurse practitioner | women's health advocate,0,15228,1,0
get_rich_88,12,4586,29,♻️ repost to win $1000,0,0,1,1
daniel_f,50,114,169,Retired engineer | amateur astronomer 🔭,0,615,1,0
chris_builds,55215,17,18,Real estate investor | DM for passive income secrets,0,0,1,1
photo_by_anna,3916724,548,22484,News journalist @NYT,1,14010,1,0
natgeo,29721109,719,39107,Grammy-winning artist 🎵 | New album out now,1,116351,1,0
chef_marco,50,110,759,News journalist @NYT,0,808,1,0
q7w8e9r0t1y2,49,4941,44,crypto signals ✅ 99% win rate,0,0,1,1
neymarjr305,325479,33,99,Fan account. Not official.,0,0,1,1
a8f7d3k9p2,3741,4174,107203,Get free followers — click bio link,0,0,1,1
free_followers_now,40,4740,43,Get free followers — click bio link,0,0,1,1
zz_promo_zz,3526,3598,180588,Get free followers — click bio link,0,0,1,1
