channel_name,subscribers,videos,about,avg_views,is_verified,label
Free Money Channel,171,2,Make money online — click here,30,0,1
CookingWithSarah,100,756,News and current affairs,21,0,0
Crypto Tips Daily,223,2,Crypto investment tips,4,0,1
GamingPro,100,205,True crime documentary channel,4,0,0
Free Money Channel,671,4,Earn $500/day from home,38,0,1
BotChannel9999,510,4,Crypto investment tips,15,0,1
CookingWithSarah,165,701,Fitness and workout videos 💪,46,0,0
Crypto Tips Daily,909,4,Earn $500/day from home,41,0,1
PewDiePie,80608214,1704,Official channel of NASA,12818238,1,0
Easy Profit 2024,762,4,,4,0,1
PewDiePie,90403169,3451,Official YouTube channel of MrBeast. Subscribe!,10614986,1,0
Crypto Tips Daily,153,4,Subscribe for free giveaways,24,0,1
Free Money Channel,682,4,Earn $500/day from home,9,0,1
FitnessFirst,102,96,True crime documentary channel,21,0,0
MusicMaestro,202,127,Travel vlogs from around the world,22,0,0
MusicMaestro,125,503,Tech reviews and unboxings,30,0,0
CookingWithSarah,186,755,Science experiments for kids 🔬,42,0,0
PewDiePie,45572021,4527,T-Series — Bollywood music and film,6637846,1,0
Crypto Tips Daily,337,1,Subscribe for free giveaways,36,0,1
BotChannel9999,582,2,SUBSCRIBE NOW for $100 giveaway,3,0,1
TechWithMike,100,660,News and current affairs,12,0,0
BotChannel9999,982,1,,45,0,1
Easy Profit 2024,103,4,,5,0,1
Easy Profit 2024,935,2,Make money online — click here,24,0,1
Easy Profit 2024,331,1,,39,0,1
NatGeo,110181710,4262,T-Series — Bollywood music and film,26857942,1,0
Crypto Tips Daily,426,1,Free gift cards daily,28,0,1
FitnessFirst,100,548,DIY and home projects,15,0,0
TechWithMike,100,178,Gaming channel | daily uploads,9,0,0
MrBeast,76294781,2784,Official channel of NASA,3893647,1,0
GamingPro,168,335,Music covers and originals 🎵,45,0,0
CookingWithSarah,159,452,Comedy sketches and skits,4,0,0
MusicMaestro,100,262,Educational content for students,26,0,0
FitnessFirst,100,312,Travel vlogs from around the world,20,0,0
Free Money Channel,738,2,Earn $500/day from home,17,0,1
CookingWithSarah,100,622,Educational content for students,0,0,0
Free Money Channel,128,2,SUBSCRIBE NOW for $100 giveaway,39,0,1
BotChannel9999,251,4,Free gift cards daily,3,0,1
Easy Profit 2024,153,0,NFT and crypto alpha,8,0,1
TechWithMike,100,229,True crime documentary channel,20,0,0
T-Series,134203251,1137,Official YouTube channel of MrBeast. Subscribe!,35599096,1,0
BotChannel9999,229,0,Make money online — click here,5,0,1
CookingWithSarah,364,50,True crime documentary channel,47,0,0
TechWithMike,100,693,Music covers and originals 🎵,19,0,0
Free Money Channel,853,1,Crypto investment tips,24,0,1
MusicMaestro,100,437,Gaming channel | daily uploads,23,0,0
FitnessFirst,100,330,Music covers and originals 🎵,27,0,0
FitnessFirst,100,783,True crime documentary channel,15,0,0
NatGeo,163333700,1501,Official channel of NASA,42743037,1,0
Free Money Channel,361,0,Free gift cards daily,32,0,1
Free Money Channel,105,0,,16,0,1
GamingPro,239,913,True crime documentary channel,66,0,0
Free Money Channel,508,1,,28,0,1
GamingPro,248,693,Science experiments for kids 🔬,63,0,0
MusicMaestro,1356,221,Comedy sketches and skits,199,0,0
Easy Profit 2024,692,4,,8,0,1
Free Money Channel,61,4,,25,0,1
Easy Profit 2024,737,3,,16,0,1
Crypto Tips Daily,897,1,Subscribe for free giveaways,34,0,1
MusicMaestro,100,169,DIY and home projects,7,0,0
BotChannel9999,297,2,Free gift cards daily,13,0,1
FitnessFirst,100,813,Fitness and workout videos 💪,2,0,0
Easy Profit 2024,639,0,Crypto investment tips,27,0,1
BotChannel9999,215,4,NFT and crypto alpha,27,0,1
Free Money Channel,845,2,Free gift cards daily,44,0,1
Easy Profit 2024,746,1,SUBSCRIBE NOW for $100 giveaway,39,0,1
CookingWithSarah,100,252,Comedy sketches and skits,24,0,0
Free Money Channel,313,2,Earn $500/day from home,46,0,1
NatGeo,217265998,3447,T-Series — Bollywood music and film,63723495,1,0
Free Money Channel,964,4,,42,0,1
BotChannel9999,470,2,Earn $500/day from home,35,0,1
FitnessFirst,574,352,Gaming channel | daily uploads,166,0,0
Free Money Channel,987,4,Make money online — click here,40,0,1
Easy Profit 2024,613,0,SUBSCRIBE NOW for $100 giveaway,9,0,1
GamingPro,100,947,News and current affairs,2,0,0
CookingWithSarah,2479,720,Tech reviews and unboxings,569,0,0
Free Money Channel,589,4,Free gift cards daily,41,0,1
GamingPro,129,920,DIY and home projects,3,0,0
TechWithMike,751,133,Fitness and workout videos 💪,181,0,0
Crypto Tips Daily,904,2,SUBSCRIBE NOW for $100 giveaway,19,0,1
MrBeast,167336608,4338,Official YouTube channel of MrBeast. Subscribe!,23869436,1,0
GamingPro,444,937,Comedy sketches and skits,17,0,0
Free Money Channel,419,4,Free gift cards daily,16,0,1
Easy Profit 2024,749,3,Make money online — click here,5,0,1
BotChannel9999,135,3,Earn $500/day from home,11,0,1
BotChannel9999,72,4,Free gift cards daily,40,0,1
BotChannel9999,914,4,Free gift cards daily,1,0,1
FitnessFirst,100,77,DIY and home projects,12,0,0
TechWithMike,100,357,Cooking tutorials and recipes 🍳,28,0,0
Crypto Tips Daily,621,1,Earn $500/day from home,21,0,1
Free Money Channel,820,4,,34,0,1
BotChannel9999,294,3,Subscribe for free giveaways,6,0,1
CookingWithSarah,359,552,Science experiments for kids 🔬,100,0,0
CookingWithSarah,100,604,Travel vlogs from around the world,20,0,0
BotChannel9999,138,0,Free gift cards daily,22,0,1
BotChannel9999,944,1,,32,0,1
GamingPro,100,479,Fitness and workout videos 💪,11,0,0
Easy Profit 2024,881,0,Subscribe for free giveaways,19,0,1
Crypto Tips Daily,159,2,SUBSCRIBE NOW for $100 giveaway,4,0,1
Free Money Channel,448,3,Earn $500/day from home,39,0,1
GamingPro,126,888,Tech reviews and unboxings,36,0,0
TechWithMike,1330,403,Science experiments for kids 🔬,366,0,0
MusicMaestro,100,59,True crime documentary channel,10,0,0
Easy Profit 2024,513,3,,10,0,1
GamingPro,167,656,Travel vlogs from around the world,25,0,0
TechWithMike,100,222,Gaming channel | daily uploads,8,0,0
FitnessFirst,165,602,Comedy sketches and skits,3,0,0
TechWithMike,159,514,Cooking tutorials and recipes 🍳,27,0,0
GamingPro,120,972,Music covers and originals 🎵,28,0,0
FitnessFirst,130,362,Educational content for students,17,0,0
FitnessFirst,182,794,Music covers and originals 🎵,15,0,0
BotChannel9999,417,3,Free gift cards daily,19,0,1
BotChannel9999,301,0,,48,0,1
Easy Profit 2024,531,3,SUBSCRIBE NOW for $100 giveaway,18,0,1
GamingPro,100,270,Comedy sketches and skits,14,0,0
TechWithMike,107,34,Fitness and workout videos 💪,8,0,0
Crypto Tips Daily,660,3,Free gift cards daily,22,0,1
MusicMaestro,100,811,Cooking tutorials and recipes 🍳,10,0,0
GamingPro,153,70,Music covers and originals 🎵,4,0,0
Free Money Channel,821,2,,49,0,1
Easy Profit 2024,56,4,SUBSCRIBE NOW for $100 giveaway,14,0,1
Easy Profit 2024,510,0,,44,0,1
BotChannel9999,63,3,NFT and crypto alpha,15,0,1
TechWithMike,100,219,Music covers and originals 🎵,21,0,0
TechWithMike,1036,219,True crime documentary channel,143,0,0
Crypto Tips Daily,888,3,Crypto investment tips,42,0,1
TechWithMike,365,94,Travel vlogs from around the world,106,0,0
TechWithMike,222,120,True crime documentary channel,64,0,0
Easy Profit 2024,15,0,Crypto investment tips,30,0,1
